Tema,Pregunta,Respuesta Correcta,Respuesta Incorrecta
Matemáticas,Explica como calcular el area de un circulo.,El area de un circulo se calcula utilizando la formula pi multiplicado por el radio al cuadrado.,El area se calcula multiplicando el diametro por dos.
Historia,Describe las causas de la Segunda Guerra Mundial.,"La Segunda Guerra Mundial fue causada por el expansionismo de las potencias del Eje y las politicas de apaciguamiento fallidas, entre otros factores.",La guerra comenzo principalmente debido a desacuerdos territoriales en Asia.
Ciencias,Explica el proceso de fotosintesis.,"La fotosintesis es un proceso que convierte la energia solar en energia quimica, utilizando agua y dioxido de carbono para producir glucosa y oxigeno.",La fotosintesis es el proceso donde las plantas consumen dioxido de carbono y producen oxigeno a traves de la luz solar.
Literatura,¿Cual es el tema principal de 'Don Quijote de la Mancha' y como se desarrolla a lo largo de la novela?,"El tema principal es la critica de las novelas de caballeria, que se desarrolla a traves de las aventuras y desventuras del protagonista, Don Quijote.",La novela trata principalmente sobre la historia de amor entre Don Quijote y Dulcinea.
Matemáticas,Explica como calcular el area de un circulo.,El area de un circulo se calcula utilizando la formula pi multiplicado por el radio al cuadrado.,El area se calcula multiplicando el diametro por dos.
Historia,Describe las causas de la Segunda Guerra Mundial.,"La Segunda Guerra Mundial fue causada por el expansionismo de las potencias del Eje y las politicas de apaciguamiento fallidas, entre otros factores.",La guerra comenzo principalmente debido a desacuerdos territoriales en Asia.
Ciencias,Explica el proceso de fotosintesis.,"La fotosintesis es un proceso que convierte la energia solar en energia quimica, utilizando agua y dioxido de carbono para producir glucosa y oxigeno.",La fotosintesis es el proceso donde las plantas consumen dioxido de carbono y producen oxigeno a traves de la luz solar.
Literatura,¿Cual es el tema principal de 'Don Quijote de la Mancha' y como se desarrolla a lo largo de la novela?,"El tema principal es la critica de las novelas de caballeria, que se desarrolla a traves de las aventuras y desventuras del protagonista, Don Quijote.",La novela trata principalmente sobre la historia de amor entre Don Quijote y Dulcinea.
Matemáticas,Explica como calcular el area de un circulo.,El area de un circulo se calcula utilizando la formula pi multiplicado por el radio al cuadrado.,El area se calcula multiplicando el diametro por dos.
Historia,Describe las causas de la Segunda Guerra Mundial.,"La Segunda Guerra Mundial fue causada por el expansionismo de las potencias del Eje y las politicas de apaciguamiento fallidas, entre otros factores.",La guerra comenzo principalmente debido a desacuerdos territoriales en Asia.
Ciencias,Explica el proceso de fotosintesis.,"La fotosintesis es un proceso que convierte la energia solar en energia quimica, utilizando agua y dioxido de carbono para producir glucosa y oxigeno.",La fotosintesis es el proceso donde las plantas consumen dioxido de carbono y producen oxigeno a traves de la luz solar.
Literatura,¿Cual es el tema principal de 'Don Quijote de la Mancha' y como se desarrolla a lo largo de la novela?,"El tema principal es la critica de las novelas de caballeria, que se desarrolla a traves de las aventuras y desventuras del protagonista, Don Quijote.",La novela trata principalmente sobre la historia de amor entre Don Quijote y Dulcinea.
Matemáticas,Explica como calcular el area de un circulo.,El area de un circulo se calcula utilizando la formula pi multiplicado por el radio al cuadrado.,El area se calcula multiplicando el diametro por dos.
Historia,Describe las causas de la Segunda Guerra Mundial.,"La Segunda Guerra Mundial fue causada por el expansionismo de las potencias del Eje y las politicas de apaciguamiento fallidas, entre otros factores.",La guerra comenzo principalmente debido a desacuerdos territoriales en Asia.
Ciencias,Explica el proceso de fotosintesis.,"La fotosintesis es un proceso que convierte la energia solar en energia quimica, utilizando agua y dioxido de carbono para producir glucosa y oxigeno.",La fotosintesis es el proceso donde las plantas consumen dioxido de carbono y producen oxigeno a traves de la luz solar.
Literatura,¿Cual es el tema principal de 'Don Quijote de la Mancha' y como se desarrolla a lo largo de la novela?,"El tema principal es la critica de las novelas de caballeria, que se desarrolla a traves de las aventuras y desventuras del protagonista, Don Quijote.",La novela trata principalmente sobre la historia de amor entre Don Quijote y Dulcinea.
Matemáticas,Explica como calcular el area de un circulo.,El area de un circulo se calcula utilizando la formula pi multiplicado por el radio al cuadrado.,El area se calcula multiplicando el diametro por dos.
Historia,Describe las causas de la Segunda Guerra Mundial.,"La Segunda Guerra Mundial fue causada por el expansionismo de las potencias del Eje y las politicas de apaciguamiento fallidas, entre otros factores.",La guerra comenzo principalmente debido a desacuerdos territoriales en Asia.
Ciencias,Explica el proceso de fotosintesis.,"La fotosintesis es un proceso que convierte la energia solar en energia quimica, utilizando agua y dioxido de carbono para producir glucosa y oxigeno.",La fotosintesis es el proceso donde las plantas consumen dioxido de carbono y producen oxigeno a traves de la luz solar.
Literatura,¿Cual es el tema principal de 'Don Quijote de la Mancha' y como se desarrolla a lo largo de la novela?,"El tema principal es la critica de las novelas de caballeria, que se desarrolla a traves de las aventuras y desventuras del protagonista, Don Quijote.",La novela trata principalmente sobre la historia de amor entre Don Quijote y Dulcinea.
Matemáticas,Explica como calcular el area de un circulo.,El area de un circulo se calcula utilizando la formula pi multiplicado por el radio al cuadrado.,El area se calcula multiplicando el diametro por dos.
Historia,Describe las causas de la Segunda Guerra Mundial.,"La Segunda Guerra Mundial fue causada por el expansionismo de las potencias del Eje y las politicas de apaciguamiento fallidas, entre otros factores.",La guerra comenzo principalmente debido a desacuerdos territoriales en Asia.
Ciencias,Explica el proceso de fotosintesis.,"La fotosintesis es un proceso que convierte la energia solar en energia quimica, utilizando agua y dioxido de carbono para producir glucosa y oxigeno.",La fotosintesis es el proceso donde las plantas consumen dioxido de carbono y producen oxigeno a traves de la luz solar.
Literatura,¿Cual es el tema principal de 'Don Quijote de la Mancha' y como se desarrolla a lo largo de la novela?,"El tema principal es la critica de las novelas de caballeria, que se desarrolla a traves de las aventuras y desventuras del protagonista, Don Quijote.",La novela trata principalmente sobre la historia de amor entre Don Quijote y Dulcinea.
